Date,Open,High,Low,Close,Adj Close,Volume
2014-07-02,1.621430,1.642860,1.621430,1.635710,1.380642,1920800
2014-07-03,1.642860,1.650000,1.628570,1.642860,1.386677,3104780
2014-07-04,1.642860,1.671430,1.635710,1.671430,1.410792,1885800
2014-07-07,1.671430,1.700000,1.664290,1.692860,1.428880,3807020
2014-07-08,1.700000,1.735710,1.692860,1.721430,1.452995,2089780
2014-07-09,1.721430,1.764290,1.714290,1.764290,1.489171,1806280
2014-07-10,1.764290,1.864290,1.764290,1.842860,1.555490,2965620
2014-07-11,1.850000,1.850000,1.764290,1.764290,1.489171,3405920
2014-07-14,1.742860,1.807140,1.742860,1.800000,1.519313,228620
2014-07-16,1.800000,1.828570,1.771430,1.807140,1.525340,1450960
2014-07-17,1.821430,1.835710,1.771430,1.778570,1.501225,2057020
2014-07-18,1.750000,1.764290,1.742860,1.750000,1.477110,3080980
2014-07-21,1.764290,1.785710,1.757140,1.757140,1.483137,1466500
2014-07-22,1.757140,1.778570,1.757140,1.778570,1.501225,1509900
2014-07-23,1.785710,1.785710,1.735710,1.742860,1.471083,2701020
2014-07-24,1.742860,1.821430,1.742860,1.800000,1.519313,723240
2014-07-25,1.785710,1.850000,1.785710,1.842860,1.555490,1300040
2014-07-30,1.842860,1.864290,1.821430,1.842860,1.555490,1650180
2014-07-31,1.828570,1.850000,1.828570,1.842860,1.555490,3333680
2014-08-01,1.828570,1.835710,1.800000,1.828570,1.543428,1230180
2014-08-04,1.828570,1.878570,1.828570,1.857140,1.567543,1637300
2014-08-05,1.871430,1.921430,1.871430,1.921430,1.621808,4676560
2014-08-06,1.907140,1.921430,1.892860,1.900000,1.603719,1680140
2014-08-07,1.892860,1.900000,1.828570,1.828570,1.543428,4588640
2014-08-08,1.835710,1.857140,1.750000,1.800000,1.519313,6587000
2014-08-11,1.842860,1.842860,1.785710,1.814290,1.531375,1613360
2014-08-12,1.814290,1.814290,1.800000,1.807140,1.525340,1019900
2014-08-13,1.792860,1.842860,1.792860,1.842860,1.555490,1802920
2014-08-14,1.842860,1.907140,1.828570,1.842860,1.555490,3937780
2014-08-15,1.864290,1.928570,1.864290,1.928570,1.627834,2265760
2014-08-18,1.942860,1.942860,1.907140,1.928570,1.627834,1153460
2014-08-19,1.921430,1.928570,1.900000,1.907140,1.609746,712740
2014-08-20,1.892860,1.928570,1.885710,1.921430,1.621808,1028020
2014-08-21,1.907140,1.921430,1.900000,1.914290,1.615781,1476020
2014-08-22,1.907140,1.921430,1.900000,1.900000,1.603719,700280
2014-08-25,1.921430,1.957140,1.907140,1.957140,1.651949,2527000
2014-08-26,1.957140,1.957140,1.907140,1.928570,1.627834,2225160
2014-08-27,1.900000,1.914290,1.835710,1.857140,1.567543,5002480
2014-08-28,1.857140,1.907140,1.857140,1.900000,1.603719,1929760
2014-08-29,1.892860,1.900000,1.850000,1.900000,1.603719,1879220
